Candidato;Bairro;Votos;P. de Votos Obtidos;;;;
SARTO;AEROLÂNDIA;1.683;0,25;;;;
SARTO;AEROPORTO;498;0,07;;;;
SARTO;ALDEOTA;15.957;2,39;;;;
SARTO;ALTO DA BALANÇA;5.718;0,86;;;;
SARTO;ÁLVARO WEYNE;12.255;1,83;;;;
SARTO;AMADEU FURTADO;1.142;0,17;;;;
SARTO;ANCURI;359;0,05;;;;
SARTO;ANTÔNIO BEZERRA;11.940;1,79;;;;
SARTO;AUTRAN NUNES;4.720;0,71;;;;
SARTO;BARRA DO CEARÁ;15.814;2,37;;;;
SARTO;BARROSO;8.265;1,24;;;;
SARTO;BELA VISTA;7.433;1,11;;;;
SARTO;BENFICA;5.672;0,85;;;;
SARTO;BOA VISTA;3.754;0,56;;;;
SARTO;BOM FUTURO;4.355;0,65;;;;
SARTO;BOM JARDIM;15.030;2,25;;;;
SARTO;BONSUCESSO;9.287;1,39;;;;
SARTO;CAIS DO PORTO;6.598;0,99;;;;
SARTO;CAJAZEIRAS;2.949;0,44;;;;
SARTO;CAMBEBA;1.995;0,3;;;;
SARTO;CANINDEZINHO;5.240;0,78;;;;
SARTO;CARLITO PAMPLONA;1.423;0,21;;;;
SARTO;CENTRO;10.877;1,63;;;;
SARTO;CIDADE DOS FUNCIONÁRIOS;6.360;0,95;;;;
SARTO;CIDADE 2000;3.581;0,54;;;;
SARTO;COAÇU;1.302;0,19;;;;
SARTO;CONJUNTO CEARÁ I;19.340;2,89;;;;
SARTO;CONJUNTO ESPERANÇA;9.147;1,37;;;;
SARTO;CONJUNTO PALMEIRAS;9.603;1,44;;;;
SARTO;CRISTO REDENTOR;13.033;1,95;;;;
SARTO;DAMAS;1.828;0,27;;;;
SARTO;DE LOURDES;3.233;0,48;;;;
SARTO;DEMOCRITO ROCHA;3.993;0,6;;;;
SARTO;DIAS MACEDO;3.552;0,53;;;;
SARTO;DIONISIO TORRES;6.268;0,94;;;;
SARTO;DOM LUSTOSA;4.045;0,6;;;;
SARTO;EDSON QUEIROZ;13.740;2,05;;;;
SARTO;ENGENHEIRO LUCIANO CAVALCANTE;5.574;0,83;;;;
SARTO;FARIAS BRITO;2.636;0,39;;;;
SARTO;FÁTIMA;6.632;0,99;;;;
SARTO;FLORESTA;2.060;0,31;;;;
SARTO;GRANJA LISBOA;10.614;1,59;;;;
SARTO;GRANJA PORTUGAL;10.749;1,61;;;;
SARTO;GUAJIRU;2.527;0,38;;;;
SARTO;HENRIQUE JORGE;9.815;1,47;;;;
SARTO;ITAOCA;39;0,01;;;;
SARTO;ITAPERI;6.397;0,96;;;;
SARTO;JACARECANGA;9.501;1,42;;;;
SARTO;JANGURUSSU;10.729;1,6;;;;
SARTO;JARDIM AMÉRICA;3.944;0,59;;;;
SARTO;JARDIM CEARENSE;1.201;0,18;;;;
SARTO;JARDIM DAS OLIVEIRAS;8.706;1,3;;;;
SARTO;JARDIM GUANABARA;2.559;0,38;;;;
SARTO;JARDIM IRACEMA;8.025;1,2;;;;
SARTO;JOÃO XXIII;4.895;0,73;;;;
SARTO;JOAQUIM TÁVORA;4.751;0,71;;;;
SARTO;JÓQUEI CLUBE;3.414;0,51;;;;
SARTO;JOSÉ BONIFÁCIO;3.786;0,57;;;;
SARTO;JOSÉ DE ALENCAR;2.513;0,38;;;;
SARTO;LAGOA REDONDA;7.649;1,14;;;;
SARTO;MANUEL SÁTIRO;7.473;1,12;;;;
SARTO;MARAPONGA;3.797;0,57;;;;
SARTO;MEIRELES;6.860;1,03;;;;
SARTO;MESSEJANA;22.020;3,29;;;;
SARTO;MONDUBIM;14.818;2,22;;;;
SARTO;MONTE CASTELO;7.714;1,15;;;;
SARTO;MONTESE;10.654;1,59;;;;
SARTO;MOURA BRASIL;734;0,11;;;;
SARTO;MUCURIPE;6.838;1,02;;;;
SARTO;PADRE ANDRADE;3.300;0,49;;;;
SARTO;PAN AMERICANO;3.528;0,53;;;;
SARTO;PAPICU;5.058;0,76;;;;
SARTO;PARANGABA;12.315;1,84;;;;
SARTO;PARQUE DOIS IRMÃOS;7.140;1,07;;;;
SARTO;PARQUE GENIBAÚ;4.495;0,67;;;;
SARTO;PARQUE MANIBURA;1.451;0,22;;;;
SARTO;PARQUE PRESIDENTE VARGAS;3.377;0,51;;;;
SARTO;PARQUE SANTA MARIA;4.603;0,69;;;;
SARTO;PARQUE SANTA ROSA;999;0,15;;;;
SARTO;PARQUE SÃO JOSÉ;1.771;0,26;;;;
SARTO;PARQUELÂNDIA;7.201;1,08;;;;
SARTO;PASSARÉ;12.300;1,84;;;;
SARTO;PAUPINA;4.172;0,62;;;;
SARTO;PEDRAS;1.965;0,29;;;;
SARTO;PICI;3.545;0,53;;;;
SARTO;PLANALTO AYRTON SENNA;6.526;0,98;;;;
SARTO;PRAIA DE IRACEMA;3.624;0,54;;;;
SARTO;PRAIA DO FUTURO II;816;0,12;;;;
SARTO;PREFEITO JOSÉ WALTER;17.873;2,67;;;;
SARTO;PRESIDENTE KENNEDY;6.268;0,94;;;;
SARTO;QUINTINO CUNHA;9.039;1,35;;;;
SARTO;RODOLFO TEÓFILO;5.161;0,77;;;;
SARTO;SABIAGUABA;382;0,06;;;;
SARTO;SÃO GERARDO;5.064;0,76;;;;
SARTO;SÃO JOÃO DO TAUAPE;8.896;1,33;;;;
SARTO;SAPIRANGA;5.690;0,85;;;;
SARTO;SERRINHA;10.647;1,59;;;;
SARTO;SIQUEIRA;6.791;1,02;;;;
SARTO;VARJOTA;5.539;0,83;;;;
SARTO;VICENTE PINZON;7.034;1,05;;;;
SARTO;VILA ELLERY;2.577;0,39;;;;
SARTO;VILA PERI;6.124;0,92;;;;
SARTO;VILA UNIÃO;6.466;0,97;;;;
SARTO;VILA VELHA;15.302;2,29;;;;
SARTO;TOTAL_Sarto;668.652;100;;;;
C  VAGNER;AEROLÂNDIA;1.471;0,24;;;;
C  VAGNER;AEROPORTO;542;0,09;;;;
C  VAGNER;ALDEOTA;15.102;2,42;;;;
C  VAGNER;ALTO DA BALANÇA;4.382;0,7;;;;
C  VAGNER;ÁLVARO WEYNE;11.388;1,82;;;;
C  VAGNER;AMADEU FURTADO;1.162;0,19;;;;
C  VAGNER;ANCURI;196;0,03;;;;
C  VAGNER;ANTÔNIO BEZERRA;12.263;1,96;;;;
C  VAGNER;AUTRAN NUNES;4.473;0,72;;;;
C  VAGNER;BARRA DO CEARÁ;17.192;2,75;;;;
C  VAGNER;BARROSO;6.737;1,08;;;;
C  VAGNER;BELA VISTA;7.516;1,2;;;;
C  VAGNER;BENFICA;3.531;0,57;;;;
C  VAGNER;BOA VISTA;3.328;0,53;;;;
C  VAGNER;BOM FUTURO;3.489;0,56;;;;
C  VAGNER;BOM JARDIM;14.075;2,25;;;;
C  VAGNER;BONSUCESSO;10.143;1,62;;;;
C  VAGNER;CAIS DO PORTO;5.810;0,93;;;;
C  VAGNER;CAJAZEIRAS;2.678;0,43;;;;
C  VAGNER;CAMBEBA;1.911;0,31;;;;
C  VAGNER;CANINDEZINHO;4.780;0,76;;;;
C  VAGNER;CARLITO PAMPLONA;1.265;0,2;;;;
C  VAGNER;CENTRO;9.273;1,48;;;;
C  VAGNER;CIDADE DOS FUNCIONÁRIOS;5.754;0,92;;;;
C  VAGNER;CIDADE 2000;2.696;0,43;;;;
C  VAGNER;COAÇU;1.178;0,19;;;;
C  VAGNER;CONJUNTO CEARÁ I;21.998;3,52;;;;
C  VAGNER;CONJUNTO ESPERANÇA;9.241;1,48;;;;
C  VAGNER;CONJUNTO PALMEIRAS;8.340;1,33;;;;
C  VAGNER;CRISTO REDENTOR;11.216;1,79;;;;
C  VAGNER;DAMAS;1.305;0,21;;;;
C  VAGNER;DE LOURDES;3.297;0,53;;;;
C  VAGNER;DEMOCRITO ROCHA;4.303;0,69;;;;
C  VAGNER;DIAS MACEDO;3.313;0,53;;;;
C  VAGNER;DIONISIO TORRES;5.072;0,81;;;;
C  VAGNER;DOM LUSTOSA;3.923;0,63;;;;
C  VAGNER;EDSON QUEIROZ;12.506;2;;;;
C  VAGNER;ENGENHEIRO LUCIANO CAVALCANTE;5.113;0,82;;;;
C  VAGNER;FARIAS BRITO;2.100;0,34;;;;
C  VAGNER;FÁTIMA;4.776;0,76;;;;
C  VAGNER;FLORESTA;2.311;0,37;;;;
C  VAGNER;GRANJA LISBOA;10.182;1,63;;;;
C  VAGNER;GRANJA PORTUGAL;11.633;1,86;;;;
C  VAGNER;GUAJIRU;2.022;0,32;;;;
C  VAGNER;HENRIQUE JORGE;9.851;1,58;;;;
C  VAGNER;ITAOCA;43;0,01;;;;
C  VAGNER;ITAPERI;5.281;0,85;;;;
C  VAGNER;JACARECANGA;8.494;1,36;;;;
C  VAGNER;JANGURUSSU;10.607;1,7;;;;
C  VAGNER;JARDIM AMÉRICA;3.067;0,49;;;;
C  VAGNER;JARDIM CEARENSE;1.152;0,18;;;;
C  VAGNER;JARDIM DAS OLIVEIRAS;7.716;1,23;;;;
C  VAGNER;JARDIM GUANABARA;2.526;0,4;;;;
C  VAGNER;JARDIM IRACEMA;8.087;1,29;;;;
C  VAGNER;JOÃO XXIII;5.824;0,93;;;;
C  VAGNER;JOAQUIM TÁVORA;3.415;0,55;;;;
C  VAGNER;JÓQUEI CLUBE;3.668;0,59;;;;
C  VAGNER;JOSÉ BONIFÁCIO;2.608;0,42;;;;
C  VAGNER;JOSÉ DE ALENCAR;2.372;0,38;;;;
C  VAGNER;LAGOA REDONDA;6.113;0,98;;;;
C  VAGNER;MANUEL SÁTIRO;8.402;1,34;;;;
C  VAGNER;MARAPONGA;3.714;0,59;;;;
C  VAGNER;MEIRELES;7.901;1,26;;;;
C  VAGNER;MESSEJANA;18.815;3,01;;;;
C  VAGNER;MONDUBIM;14.612;2,34;;;;
C  VAGNER;MONTE CASTELO;6.958;1,11;;;;
C  VAGNER;MONTESE;8.811;1,41;;;;
C  VAGNER;MOURA BRASIL;598;0,1;;;;
C  VAGNER;MUCURIPE;6.113;0,98;;;;
C  VAGNER;PADRE ANDRADE;3.367;0,54;;;;
C  VAGNER;PAN AMERICANO;3.525;0,56;;;;
C  VAGNER;PAPICU;4.411;0,71;;;;
C  VAGNER;PARANGABA;12.052;1,93;;;;
C  VAGNER;PARQUE DOIS IRMÃOS;5.412;0,87;;;;
C  VAGNER;PARQUE GENIBAÚ;4.571;0,73;;;;
C  VAGNER;PARQUE MANIBURA;1.456;0,23;;;;
C  VAGNER;PARQUE PRESIDENTE VARGAS;3.558;0,57;;;;
C  VAGNER;PARQUE SANTA MARIA;4.318;0,69;;;;
C  VAGNER;PARQUE SANTA ROSA;996;0,16;;;;
C  VAGNER;PARQUE SÃO JOSÉ;1.910;0,31;;;;
C  VAGNER;PARQUELÂNDIA;6.308;1,01;;;;
C  VAGNER;PASSARÉ;10.746;1,72;;;;
C  VAGNER;PAUPINA;3.603;0,58;;;;
C  VAGNER;PEDRAS;1.676;0,27;;;;
C  VAGNER;PICI;3.421;0,55;;;;
C  VAGNER;PLANALTO AYRTON SENNA;6.712;1,07;;;;
C  VAGNER;PRAIA DE IRACEMA;3.145;0,5;;;;
C  VAGNER;PRAIA DO FUTURO II;705;0,11;;;;
C  VAGNER;PREFEITO JOSÉ WALTER;16.985;2,72;;;;
C  VAGNER;PRESIDENTE KENNEDY;5.671;0,91;;;;
C  VAGNER;QUINTINO CUNHA;9.893;1,58;;;;
C  VAGNER;RODOLFO TEÓFILO;4.689;0,75;;;;
C  VAGNER;SABIAGUABA;277;0,04;;;;
C  VAGNER;SÃO GERARDO;3.979;0,64;;;;
C  VAGNER;SÃO JOÃO DO TAUAPE;5.826;0,93;;;;
C  VAGNER;SAPIRANGA;4.261;0,68;;;;
C  VAGNER;SERRINHA;9.392;1,5;;;;
C  VAGNER;SIQUEIRA;7.191;1,15;;;;
C  VAGNER;VARJOTA;4.862;0,78;;;;
C  VAGNER;VICENTE PINZON;7.142;1,14;;;;
C  VAGNER;VILA ELLERY;2.289;0,37;;;;
C  VAGNER;VILA PERI;7.217;1,15;;;;
C  VAGNER;VILA UNIÃO;6.009;0,96;;;;
C  VAGNER;VILA VELHA;15.583;2,49;;;;
C  VAGNER;TOTAL_Vagner;624.892;100;;;;
